ville;cp;longitude;latitude;departement
HEAUVILLE;50340;-1.8005518;49.5819409;50
HEBECREVON;50180;-1.1666291;49.12696;50
HELLEVILLE;50340;-1.7847442;49.5555055;50
HEMEVEZ;50700;-1.441093;49.4588972;50
HERQUEVILLE;50440;-1.8768416;49.6683608;50
HEUGUEVILLE SUR SIENNE;50200;-1.5226561;49.0426246;50
HERENGUERVILLE;50660;-1.5012055;48.976746;50
HEUSSE;50640;-0.9013776;48.5075152;50
HIESVILLE;50480;-1.2633816;49.371339;50
HOCQUIGNY;50320;-1.4084785;48.8139343;50
LE HOMMET D ARTHENAY;50620;-1.1881721;49.1896348;50
HOUESVILLE;50480;-1.2874358;49.3512742;50
HOUTTEVILLE;50250;-1.3662181;49.3375619;50
HUBERVILLE;50700;-1.4351016;49.5118502;50
HUDIMESNIL;50510;-1.4933519;48.8622062;50
HUISNES SUR MER;50170;-1.4507187;48.6080681;50
HUSSON;50640;-0.8925409;48.5699899;50
HYENVILLE;50660;-1.4670139;48.9943847;50
ISIGNY LE BUAT;50540;-1.19107;48.6227232;50
JOBOURG;50440;-1.9052667;49.683545;50
JOGANVILLE;50310;-1.3486055;49.4698701;50
JUILLEY;50220;-1.3436733;48.5991476;50
JUVIGNY LE TERTRE;50520;-1.0203473;48.6767197;50
LAMBERVILLE;50160;-0.9082483;49.084615;50
LA LANDE D AIROU;50800;-1.2900121;48.817019;50
LAPENTY;50600;-1.0063527;48.5787452;50
LAULNE;50430;-1.4717739;49.2496477;50
LENGRONNE;50510;-1.3805531;48.9339278;50
LESSAY;50430;-1.5325984;49.2187266;50
LESTRE;50310;-1.3355404;49.5260729;50
LIESVILLE SUR DOUVE;50480;-1.3364703;49.3544398;50
LIEUSAINT;50700;-1.4783376;49.4743846;50
LINGEARD;50670;-1.0255683;48.7384477;50
LINGREVILLE;50660;-1.5273117;48.9515416;50
LITHAIRE;50250;-1.4846818;49.2996057;50
LES LOGES MARCHIS;50600;-1.0881269;48.5422914;50
LES LOGES SUR BRECEY;50370;-1.176124;48.7652091;50
LOLIF;50530;-1.3930579;48.7334077;50
LONGUEVILLE;50290;-1.5476089;48.8541612;50
LE LOREUR;50510;-1.4306791;48.8694804;50
LE LOREY;50570;-1.3070497;49.0939648;50
LOZON;50570;-1.2627601;49.142557;50
LA LUCERNE D OUTREMER;50320;-1.4271904;48.7839128;50
LE LUOT;50870;-1.3182453;48.7563123;50
LA LUZERNE;50680;-1.0503015;49.1400371;50
MACEY;50170;-1.4362003;48.5615041;50
MAGNEVILLE;50260;-1.5463396;49.4472387;50
LA MANCELLIERE;50540;-1.19107;48.6227232;50
LA MANCELLIERE SUR VIRE;50750;-1.0714194;49.0693227;50
MARCEY LES GREVES;50300;-1.3789456;48.6977563;50
MARCHESIEUX;50190;-1.2913828;49.1876356;50
MARCILLY;50220;-1.2523415;48.6476476;50
MARGUERAY;50410;-1.1427106;48.896346;50
MARIGNY;50570;-1.242602;49.0992324;50
MARTIGNY;50600;-1.107365;48.6132149;50
MARTINVAST;50690;-1.6651008;49.593757;50
MAUPERTUIS;50410;-1.2001597;48.9543391;50
MAUPERTUS SUR MER;50330;-1.4838704;49.6573331;50
LA MEAUFFE;50880;-1.1110882;49.1771521;50
MEAUTIS;50500;-1.3030049;49.2796656;50
LE MESNIL;50580;-1.6946307;49.3690096;50
LE MESNIL ADELEE;50520;-1.0732827;48.7010391;50
LE MESNIL AMAND;50450;-1.3613902;48.8817387;50
LE MESNIL AMEY;50570;-1.2076678;49.10631;50
LE MESNIL ANGOT;50620;-1.2;49.2166667;50
LE MESNIL AUBERT;50510;-1.4135067;48.9460905;50
LE MESNIL AU VAL;50110;-1.5249447;49.6048684;50
LE MESNIL BOEUFS;50540;-1.1666667;48.6333333;50
LE MESNIL BONANT;50450;-1.2990846;48.9001526;50
LE MESNILBUS;50490;-1.3500804;49.1320302;50
LE MESNIL DREY;50320;-1.4215234;48.8096171;50
LE MESNIL EURY;50570;-1.2367989;49.1516367;50
LE MESNIL GARNIER;50450;-1.3090961;48.8652853;50
LE MESNIL GILBERT;50670;-1.0640801;48.7149137;50
LE MESNIL HERMAN;50750;-1.14498;49.0264337;50
LE MESNIL HUE;50450;-1.3001474;48.8889755;50
LE MESNILLARD;50600;-1.0730395;48.6270107;50
LE MESNIL OPAC;50860;-1.0974366;49.0127752;50
LE MESNIL OZENNE;50220;-1.2319176;48.6663684;50
LE MESNIL RAINFRAY;50520;-1.0549542;48.667296;50
LE MESNIL RAOULT;50420;-1.0596248;49.035123;50
LE MESNIL ROGUES;50450;-1.3817269;48.8628711;50
LE MESNIL ROUXELIN;50000;-1.086243;49.1468252;50
LE MESNIL THEBAULT;50540;-1.19107;48.6227232;50
LE MESNIL TOVE;50520;-1.022016;48.701476;50
LE MESNIL VENERON;50620;-1.164489;49.2261172;50
LE MESNIL VIGOT;50570;-1.2819073;49.1552979;50
LE MESNIL VILLEMAN;50450;-1.3276757;48.8642874;50
LA MEURDRAQUIERE;50510;-1.4088863;48.8494098;50
MILLIERES;50190;-1.4607233;49.1875168;50
MILLY;50600;-1.0198291;48.6019714;50
MOBECQ;50250;-1.5159957;49.2726086;50
MOIDREY;50170;-1.5062252;48.5751209;50
LES MOITIERS D ALLONNE;50270;-1.779919;49.4019745;50
LES MOITIERS EN BAUPTOIS;50360;-1.433906;49.3648883;50
MONTABOT;50410;-1.1257927;48.9338047;50
MONTAIGU LA BRISETTE;50700;-1.4077719;49.5627563;50
MONTAIGU LES BOIS;50450;-1.2787172;48.8931136;50
MONTANEL;50240;-1.4204976;48.4957603;50
MONTBRAY;50410;-1.0947965;48.8806802;50
MONTCHATON;50660;-1.5003902;49.0099303;50
MONTCUIT;50490;-1.3400997;49.1217954;50
MONTEBOURG;50310;-1.3759965;49.4878091;50
MONTFARVILLE;50760;-1.2693609;49.6536808;50
MONTGARDON;50250;-1.5727173;49.2800116;50
MONTGOTHIER;50540;-1.193731;48.643061;50
MONTHUCHON;50200;-1.4218817;49.0828165;50
MONTIGNY;50540;-1.1249766;48.6456356;50
MONTJOIE ST MARTIN;50240;-1.2914181;48.5325362;50
MONTMARTIN EN GRAIGNES;50620;-1.146298;49.2752988;50
MONTMARTIN SUR MER;50590;-1.5250085;48.9887663;50
MONTPINCHON;50210;-1.3117336;49.0206749;50
MONTRABOT;50810;-0.8836514;49.1093848;50
MONTREUIL SUR LOZON;50570;-1.2367207;49.1373756;50
LE MONT ST MICHEL;50170;-1.5108987;48.6353532;50
MONTSURVENT;50200;-1.4980249;49.1150607;50
MONTVIRON;50530;-1.4205119;48.7368166;50
MOON SUR ELLE;50680;-1.0486303;49.206452;50
MORIGNY;50410;-1.0589826;48.8819017;50
MORSALINES;50630;-1.3126005;49.5726538;50
MORTAIN;50140;-0.9385509;48.6466755;50
MORVILLE;50700;-1.5125233;49.4737934;50
LA MOUCHE;50320;-1.3498841;48.7935927;50
MOULINES;50600;-1.0316819;48.545199;50
MOYON;50860;-1.1183773;48.9998629;50
MUNEVILLE LE BINGARD;50490;-1.4786349;49.1208324;50
MUNEVILLE SUR MER;50290;-1.4905141;48.9337953;50
NAFTEL;50540;-1.1319948;48.6097845;50
NAY;50190;-1.3732544;49.2397422;50
NEGREVILLE;50260;-1.5489765;49.490069;50
NEHOU;50390;-1.5407551;49.4203371;50
LE NEUFBOURG;50140;-0.9452761;48.6528503;50
NEUFMESNIL;50250;-1.5392643;49.3119556;50
NEUVILLE AU PLAIN;50480;-1.3315137;49.4299556;50
NEUVILLE EN BEAUMONT;50250;-1.600202;49.3473529;50
NEVILLE SUR MER;50330;-1.3384289;49.692016;50
NICORPS;50200;-1.4207224;49.0269032;50
NOIRPALU;50320;-1.330104;48.7922302;50
NOTRE DAME DE CENILLY;50210;-1.2575882;48.9955771;50
NOTRE DAME DE LIVOYE;50370;-1.1966052;48.7462345;50
NOTRE DAME D ELLE;50810;-0.9605366;49.1107617;50
NOTRE DAME DU TOUCHET;50140;-0.9566114;48.5824334;50
NOUAINVILLE;50690;-1.6846671;49.6239181;50
OCTEVILLE;50130;-1.65;49.6166667;50
OCTEVILLE L AVENEL;50630;-1.354158;49.5436439;50
OMONVILLE LA PETITE;50440;-1.8823809;49.6996587;50
OMONVILLE LA ROGUE;50440;-1.8445737;49.7029867;50
ORGLANDES;50390;-1.4503783;49.4220595;50
ORVAL;50660;-1.4709064;49.0136269;50
OUVILLE;50210;-1.36281;49.020276;50
OZEVILLE;50310;-1.3392406;49.5019954;50
PARIGNY;50600;-1.0792987;48.5945606;50
LES PAS;50170;-1.4798737;48.5862331;50
PERCY;50410;-1.1911729;48.9162322;50
PERIERS;50190;-1.4084706;49.1863464;50
LA PERNELLE;50630;-1.2991983;49.6185915;50
LES PERQUES;50260;-1.655571;49.4465541;50
PERRIERS EN BEAUFICEL;50150;-0.9952798;48.7369726;50
LE PERRON;50160;-0.9019539;49.0522674;50
LE PETIT CELLAND;50370;-1.2113212;48.6968508;50
PICAUVILLE;50360;-1.4001945;49.3795069;50
PIERREVILLE;50340;-1.7824213;49.4733561;50
LES PIEUX;50340;-1.8070047;49.5144181;50
PIROU;50770;-1.5476705;49.1623755;50
PLACY MONTAIGU;50160;-0.9053164;49.0304528;50
LE PLESSIS LASTELLE;50250;-1.4249286;49.2807931;50
PLOMB;50870;-1.3022283;48.7305644;50
POILLEY;50220;-1.3086479;48.6180084;50
PONTAUBAULT;50220;-1.3499317;48.6301557;50
PONT HEBERT;50880;-1.136335;49.1685606;50
PONTORSON;50170;-1.5046813;48.5536226;50
PONTS;50300;-1.3473522;48.7028676;50
PORTBAIL;50580;-1.6996969;49.334716;50
PRECEY;50220;-1.3765177;48.6077388;50
PRECORBIN;50810;-0.9615426;49.0861421;50
PRETOT STE SUZANNE;50250;-1.425765;49.321473;50
QUERQUEVILLE;50460;-1.6965101;49.6646836;50
QUETTEHOU;50630;-1.3033477;49.5924741;50
QUETTETOT;50260;-1.6671812;49.4870793;50
QUETTREVILLE SUR SIENNE;50660;-1.4666654;48.9686551;50
QUIBOU;50750;-1.2012846;49.0681346;50
QUINEVILLE;50310;-1.2894209;49.5144748;50
RAIDS;50500;-1.3459149;49.2177543;50
RAMPAN;50000;-1.1405707;49.1371399;50
RANCOUDRAY;50140;-0.8719579;48.6443333;50
RAUVILLE LA BIGOT;50260;-1.6836864;49.5184972;50
RAUVILLE LA PLACE;50390;-1.5044213;49.3885459;50
RAVENOVILLE;50480;-1.2705536;49.4568501;50
REFFUVEILLE;50520;-1.1122349;48.6693976;50
REGNEVILLE SUR MER;50590;-1.5525932;49.0079123;50
REIGNEVILLE BOCAGE;50390;-1.4738663;49.4082932;50
REMILLY SUR LOZON;50570;-1.2569319;49.1799886;50
RETHOVILLE;50330;-1.3579444;49.6965947;50
REVILLE;50760;-1.2581061;49.6196577;50
LA ROCHELLE NORMANDE;50530;-1.434052;48.7644956;50
ROCHEVILLE;50260;-1.5954943;49.504132;50
ROMAGNY;50140;-0.9661697;48.6400387;50
RONCEY;50210;-1.3336746;48.9897548;50
LA RONDE HAYE;50490;-1.4428062;49.1262677;50
RONTHON;50530;-1.4814376;48.7297692;50
ROUFFIGNY;50800;-1.2519643;48.8030898;50
ROUXEVILLE;50810;-0.9472284;49.1027363;50
LE ROZEL;50340;-1.8289575;49.4874129;50
SACEY;50170;-1.4502843;48.5089832;50
ST AMAND;50160;-0.9648819;49.0438085;50
ST ANDRE DE BOHON;50500;-1.2507552;49.2346338;50
ST ANDRE DE L EPINE;50680;-1.0106419;49.1390453;50
ST AUBIN DES PREAUX;50380;-1.5081856;48.8041644;50
ST AUBIN DE TERREGATTE;50111;-1.2997578;48.575855;50
ST AUBIN DU PERRON;50490;-1.3694587;49.1435867;50
ST BARTHELEMY;50140;-0.9533733;48.6819073;50
ST BRICE;50300;-1.3081635;48.6981511;50
ST BRICE DE LANDELLES;50730;-1.1525683;48.5328312;50
STE CECILE;50800;-1.18804;48.835971;50
ST CHRISTOPHE DU FOC;50340;-1.7419542;49.5552982;50
ST CLAIR SUR L ELLE;50680;-1.0301844;49.1923055;50
ST CLEMENT RANCOUDRAY;50140;-0.8853612;48.673426;50
STE COLOMBE;50390;-1.5216211;49.4211425;50
ST COME DU MONT;50500;-1.2720736;49.3357496;50
STE CROIX HAGUE;50440;-1.7749285;49.6372007;50
ST CYR;50310;-1.4206151;49.4878526;50
ST CYR DU BAILLEUL;50720;-0.7998783;48.5655296;50
ST DENIS LE GAST;50450;-1.3295837;48.9401992;50
ST DENIS LE VETU;50210;-1.4029834;48.9867023;50
ST EBREMOND DE BONFOSSE;50750;-1.1487797;49.0664138;50
STE EUGIENNE;50870;-1.2785673;48.7364661;50
ST FLOXEL;50310;-1.3523069;49.4914256;50
ST FROMOND;50620;-1.0902468;49.2209233;50
STE GENEVIEVE;50760;-1.3131687;49.6570478;50
ST GEORGES DE BOHON;50500;-1.2702953;49.2512665;50
ST GEORGES LA RIVIERE;50270;-1.7293176;49.3648957;50
ST GEORGES DE LIVOYE;50370;-1.2168494;48.7367639;50
ST GEORGES D ELLE;50680;-0.9704498;49.148769;50
ST GEORGES DE ROUELLEY;50720;-0.768063;48.6038483;50
ST GEORGES MONTCOCQ;50000;-1.0939796;49.128716;50
ST GERMAIN D ELLE;50810;-0.9190099;49.1222031;50
ST GERMAIN DES VAUX;50440;-1.9146127;49.7118955;50
ST GERMAIN DE TOURNEBUT;50700;-1.3948557;49.5333778;50
ST GERMAIN DE VARREVILLE;50480;-1.2570342;49.4376366;50
ST GERMAIN LE GAILLARD;50340;-1.7816103;49.4860064;50
ST GERMAIN SUR AY;50430;-1.5946963;49.2350833;50
ST GERMAIN SUR SEVES;50190;-1.3705872;49.2225738;50
ST GILLES;50180;-1.1759991;49.1046442;50
ST HILAIRE DU HARCOUET;50600;-1.0932363;48.5774547;50
ST HILAIRE PETITVILLE;50500;-1.2294841;49.3029971;50
ST JACQUES DE NEHOU;50390;-1.6119432;49.4175201;50
ST JAMES;50240;-1.3205252;48.5235546;50
ST JEAN DE DAYE;50620;-1.1361543;49.2285739;50
ST JEAN DE LA HAIZE;50300;-1.3616927;48.698401;50
ST JEAN DE LA RIVIERE;50270;-1.7355335;49.3689929;50
ST JEAN DE SAVIGNY;50680;-0.9920918;49.1944228;50
ST JEAN DES BAISANTS;50810;-0.9727361;49.0933746;50
ST JEAN DES CHAMPS;50320;-1.4650503;48.8275795;50
ST JEAN DU CORAIL;50140;-0.9118388;48.6091622;50
ST JEAN DU CORAIL BOIS;50370;-1.2019495;48.7662704;50
ST JEAN LE THOMAS;50530;-1.5138003;48.7300763;50
ST JORES;50250;-1.4226603;49.3073548;50
ST JOSEPH;50700;-1.5257638;49.5324084;50
ST LAURENT DE CUVES;50670;-1.1230356;48.7513379;50
ST LAURENT DE TERREGATTE;50111;-1.2594379;48.5720546;50
ST LEGER;50320;-1.4783919;48.798167;50
ST LO;50000;-1.0900811;49.1155996;50
